"album_code";"album_id";"album";"track_id";"main_track_id";"titre";"version";"alternate";"composer_avant";"composer_proposé";"action";"justification";"artist";"publisher";"ayants_droit_structurés";"validation"
"PGO0055";"8b271091f733803b";"The World Wedding March";"6af5b3d1d2d671aaea6a4707c891afea";"";"New Orleans Brass Band Wedding Underscore Sousaphone & Horns";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"8cb74701df160ab3ead1c16b8d8e6ce9";"";"An Indian Wedding";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien GIRARD · Xavier Sibre";"update";"variante-mécanique-attestée-par-ayant-droit";"";"PARIGO";"PARIGO|Original Publisher|SACEM|461629761| · Fabien GIRARD|Composer|SACEM|637485318| · Xavier Sibre|Composer|SACEM|475989382|";"pilot-pending"
"PGO0055";"8b271091f733803b";"The World Wedding March";"b9b7eead56397cb8b17fe08709707391";"";"An Indian Wedding Underscore All Percussions";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"91d968abdf07cd83b717d14cba3f41eb";"";"An Indian Wedding Underscore Alternate";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"91bdc7b38ce672688448e871fe75179c";"";"An Indian Wedding Underscore No Tempura";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"36e38c868e9e8553b5eda444e54ef809";"";"An Indian Wedding Underscore Rythm Section";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"fa8cac260cc2925c0512e02dd5eb5e79";"";"Klezmer Wedding Party";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien GIRARD · Xavier Sibre";"update";"variante-mécanique-attestée-par-ayant-droit";"";"PARIGO";"PARIGO|Original Publisher|SACEM|461629776| · Fabien GIRARD|Composer|SACEM|637485318| · Xavier Sibre|Composer|SACEM|475989382|";"pilot-pending"
"PGO0055";"8b271091f733803b";"The World Wedding March";"b9cfa4a6478ba3c05200de1a7c29bfd1";"";"Klezmer Wedding Party Underscore Brass Band";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"ed987ad9d9a6621b6f3a8eb825e1ae4f";"";"Klezmer Wedding Party Underscore Drums";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"ebb11f2242cd8e12b294de0dfad261e1";"";"Klezmer Wedding Party Underscore Melody";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
