"album_code";"album_id";"album";"track_id";"main_track_id";"titre";"version";"composer_avant";"composer_proposé";"action";"justification";"validation"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"2754dfa92efa3a7d";"";"PARLEZ VOUS HIP-HOP (VOCAL HOOK VERSION)";"Main";"Bonetrips (SACEM) · Liqid (SACEM) · Amaury Messelier (SACEM) · Fat Hed (NS)";"Bonetrips · Liqid · Amaury Messelier · Fat Hed";"update";"suffixe-société";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"e6edc2b383a014db";"";"PARLEZ VOUS HIP-HOP (INSTRUMENTAL)";"Main";"Bonetrips (SACEM) · Liqid (SACEM) · Amaury Messelier (SACEM) · Fat Hed (NS)";"Bonetrips · Liqid · Amaury Messelier · Fat Hed";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"3e61debb00aef8e1";"";"THUG SPACED";"Main";"Amaury Messelier (SACEM)";"Amaury Messelier";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"80930ec69f831fec";"";"THUG SPACED (INSTRUMENTAL)";"Main";"Amaury Messelier (SACEM)";"Amaury Messelier";"update";"suffixe-société";"à-valider-avant-première-sauvegarde"
"PGO0024";"a115a18d4db049ea";"Caught In The Trap";"0f9ed7a4f79d290a";"";"TRAP FANTASY";"Main";"Amaury Messelier (SACEM) · Liqid (SACEM)";"Amaury Messelier · Liqid";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0024";"a115a18d4db049ea";"Caught In The Trap";"e65e6d7c03907861";"";"HOOD LIFE";"Main";"Amaury Messelier (SACEM) · Liqid (SACEM)";"Amaury Messelier · Liqid";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0024";"a115a18d4db049ea";"Caught In The Trap";"4d28e33baeac678d";"";"THE GODFATHER OF TRAP";"Main";"Amaury Messelier (SACEM) · Liqid (SACEM)";"Amaury Messelier · Liqid";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0024";"a115a18d4db049ea";"Caught In The Trap";"b911885c1383a23e";"";"SILVER HANDS";"Main";"Amaury Messelier (SACEM) · Liqid (SACEM)";"Amaury Messelier · Liqid";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0024";"a115a18d4db049ea";"Caught In The Trap";"b23c1784977ba396";"";"LAB TRAP";"Main";"Amaury Messelier (SACEM) · Liqid (SACEM)";"Amaury Messelier · Liqid";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0016";"3a561cd158cab479";"Pigalle Bizarre";"e51d91bf92236818";"";"MADEMOISELLE WIZZ";"Main";"Minimatic";"Minimatic";"no-change";"déjà-canonique";"à-valider-avant-première-sauvegarde"
"PGO0016";"3a561cd158cab479";"Pigalle Bizarre";"79342cda8958d796";"";"A PARISIAN MYSTERY";"Main";"Minimatic (NS)";"Minimatic";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0016";"3a561cd158cab479";"Pigalle Bizarre";"b715ea1525c3a4f1";"";"TAPPING TANGO";"Main";"Minimatic (NS)";"Minimatic";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0016";"3a561cd158cab479";"Pigalle Bizarre";"ea5e907278bf9187";"";"THE GIRL FROM BELLEVILLE";"Main";"Minimatic (NS)";"Minimatic";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
